id,trade_id,timestamp,symbol,price,quantity,buy_order_id,sell_order_id,buy_agent_id,sell_agent_id,aggressor_side,market_impact
41,TRD_20240102_093700_000041,2024-01-02 09:37:00,GOOGL,2507.2,441,ORD_hft_0020_20240102_093700_2627,ORD_hft_0006_20240102_093700_8497,hft_0020,hft_0006,BUY,0.002599272203782941
42,TRD_20240102_093700_000042,2024-01-02 09:37:00,GOOGL,2499.11,188,ORD_hft_0059_20240102_093700_7027,ORD_hft_0011_20240102_093700_3533,hft_0059,hft_0011,SELL,0.0032267070835991112
43,TRD_20240102_093800_000043,2024-01-02 09:38:00,AAPL,150.34,148,ORD_hft_0012_20240102_093800_1049,ORD_hft_0002_20240102_093800_7585,hft_0012,hft_0002,BUY,0.00039607816749172634
44,TRD_20240102_093800_000044,2024-01-02 09:38:00,AAPL,150.34,148,ORD_hft_0055_20240102_093800_5664,ORD_hft_0002_20240102_093800_7585,hft_0055,hft_0002,BUY,0.0
45,TRD_20240102_093900_000045,2024-01-02 09:39:00,AAPL,150.39,150,ORD_hft_0037_20240102_093900_8556,ORD_hft_0016_20240102_093900_1171,hft_0037,hft_0016,BUY,0.00032522116516175357
46,TRD_20240102_093900_000046,2024-01-02 09:39:00,GOOGL,2495.24,257,ORD_hft_0005_20240102_093900_6203,ORD_hft_0031_20240102_093900_4850,hft_0005,hft_0031,SELL,0.0014930479484038459
47,TRD_20240102_093900_000047,2024-01-02 09:39:00,GOOGL,2498.88,63,ORD_hft_0011_20240102_093900_2167,ORD_hft_0031_20240102_093900_4850,hft_0011,hft_0031,SELL,0.0014587775123837098
48,TRD_20240102_093900_000048,2024-01-02 09:39:00,GOOGL,2496.17,401,ORD_hft_0019_20240102_093900_9966,ORD_hft_0031_20240102_093900_4850,hft_0019,hft_0031,SELL,0.0010844858496606624
49,TRD_20240102_093900_000049,2024-01-02 09:39:00,GOOGL,2497.74,321,ORD_hft_0037_20240102_093900_3827,ORD_hft_0031_20240102_093900_4850,hft_0037,hft_0031,SELL,0.0006289635721924825
50,TRD_20240102_093900_000050,2024-01-02 09:39:00,GOOGL,2495.8,63,ORD_hft_0050_20240102_093900_3581,ORD_hft_0031_20240102_093900_4850,hft_0050,hft_0031,SELL,0.0007767021387332549
51,TRD_20240102_093900_000051,2024-01-02 09:39:00,GOOGL,2500.19,222,ORD_hft_0051_20240102_093900_3345,ORD_hft_0013_20240102_093900_8525,hft_0051,hft_0013,BUY,0.0017589550444746663
52,TRD_20240102_094100_000052,2024-01-02 09:41:00,AAPL,150.4,255,ORD_hft_0024_20240102_094100_9153,ORD_hft_0013_20240102_094100_1746,hft_0024,hft_0013,BUY,3.0823617498763026e-05
53,TRD_20240102_094100_000053,2024-01-02 09:41:00,AAPL,150.33,255,ORD_hft_0033_20240102_094100_1184,ORD_hft_0013_20240102_094100_1746,hft_0033,hft_0013,SELL,0.00046542553191484826
54,TRD_20240102_094100_000054,2024-01-02 09:41:00,AAPL,150.4,196,ORD_hft_0035_20240102_094100_8693,ORD_hft_0013_20240102_094100_1746,hft_0035,hft_0013,BUY,0.00046564225370846255
55,TRD_20240102_094100_000055,2024-01-02 09:41:00,AAPL,150.29,255,ORD_hft_0040_20240102_094100_1166,ORD_hft_0013_20240102_094100_1746,hft_0040,hft_0013,SELL,0.000731382978723495
56,TRD_20240102_094100_000056,2024-01-02 09:41:00,AAPL,150.39,154,ORD_hft_0047_20240102_094100_1572,ORD_hft_0013_20240102_094100_1746,hft_0047,hft_0013,SELL,0.0006653802648213076
57,TRD_20240102_094100_000057,2024-01-02 09:41:00,AAPL,150.15,255,ORD_hft_0051_20240102_094100_6718,ORD_hft_0013_20240102_094100_1746,hft_0051,hft_0013,SELL,0.0015958507879511982
58,TRD_20240102_094100_000058,2024-01-02 09:41:00,AAPL,150.37,255,ORD_market_maker_0039_20240102_094100_6942,ORD_hft_0013_20240102_094100_1746,market_maker_0039,hft_0013,SELL,0.0014652014652014576
59,TRD_20240102_094200_000059,2024-01-02 09:42:00,AAPL,150.32,68,ORD_retail_0279_20240102_094200_1249,ORD_hft_0044_20240102_094200_3017,retail_0279,hft_0044,SELL,0.0003460696479343933
60,TRD_20240102_094200_000060,2024-01-02 09:42:00,AAPL,150.24,68,ORD_hft_0030_20240102_094200_9333,ORD_hft_0044_20240102_094200_3017,hft_0030,hft_0044,SELL,0.0005321979776475791
61,TRD_20240102_094200_000061,2024-01-02 09:42:00,GOOGL,2501.69,271,ORD_hft_0029_20240102_094200_2604,ORD_hft_0039_20240102_094200_5685,hft_0029,hft_0039,BUY,0.000555552777992465
62,TRD_20240102_094300_000062,2024-01-02 09:43:00,GOOGL,2498.64,76,ORD_hft_0005_20240102_094300_9448,ORD_retail_0020_20240102_094300_6678,hft_0005,retail_0020,SELL,0.0011956995815759102
63,TRD_20240102_094300_000063,2024-01-02 09:43:00,GOOGL,2497.2,76,ORD_hft_0024_20240102_094300_3701,ORD_retail_0020_20240102_094300_6678,hft_0024,retail_0020,SELL,0.0005763135145519381
64,TRD_20240102_094300_000064,2024-01-02 09:43:00,GOOGL,2500.67,76,ORD_hft_0032_20240102_094300_1033,ORD_retail_0020_20240102_094300_6678,hft_0032,retail_0020,SELL,0.0013895563030595286
65,TRD_20240102_094300_000065,2024-01-02 09:43:00,GOOGL,2498.54,76,ORD_hft_0038_20240102_094300_7204,ORD_retail_0020_20240102_094300_6678,hft_0038,retail_0020,SELL,0.000851771725177696
66,TRD_20240102_094300_000066,2024-01-02 09:43:00,GOOGL,2499.38,76,ORD_hft_0041_20240102_094300_9847,ORD_retail_0020_20240102_094300_6678,hft_0041,retail_0020,SELL,0.0003361963386618367
67,TRD_20240102_094300_000067,2024-01-02 09:43:00,GOOGL,2499.4,76,ORD_hft_0046_20240102_094300_8202,ORD_retail_0020_20240102_094300_6678,hft_0046,retail_0020,SELL,8.001984492146776e-06
68,TRD_20240102_094400_000068,2024-01-02 09:44:00,GOOGL,2503.64,203,ORD_hft_0010_20240102_094400_4930,ORD_hft_0001_20240102_094400_2619,hft_0010,hft_0001,BUY,0.0017600251098394053
69,TRD_20240102_094400_000069,2024-01-02 09:44:00,GOOGL,2503.64,105,ORD_hft_0012_20240102_094400_2969,ORD_hft_0001_20240102_094400_2619,hft_0012,hft_0001,BUY,0.0
70,TRD_20240102_094400_000070,2024-01-02 09:44:00,GOOGL,2503.64,203,ORD_hft_0013_20240102_094400_6824,ORD_hft_0001_20240102_094400_2619,hft_0013,hft_0001,BUY,0.0
71,TRD_20240102_094400_000071,2024-01-02 09:44:00,GOOGL,2503.64,203,ORD_hft_0018_20240102_094400_1485,ORD_hft_0001_20240102_094400_2619,hft_0018,hft_0001,BUY,0.0
72,TRD_20240102_094400_000072,2024-01-02 09:44:00,AAPL,150.49,144,ORD_hft_0019_20240102_094400_3274,ORD_hft_0027_20240102_094400_5615,hft_0019,hft_0027,BUY,0.0016416891704599161
73,TRD_20240102_094500_000073,2024-01-02 09:45:00,GOOGL,2503.53,148,ORD_hft_0003_20240102_094500_4663,ORD_retail_0224_20240102_094500_5353,hft_0003,retail_0224,SELL,8.871715671733171e-06
74,TRD_20240102_094500_000074,2024-01-02 09:45:00,GOOGL,2500.53,568,ORD_hft_0006_20240102_094500_1700,ORD_retail_0224_20240102_094500_5353,hft_0006,retail_0224,SELL,0.0011983079891193633
75,TRD_20240102_094500_000075,2024-01-02 09:45:00,GOOGL,2500.01,153,ORD_hft_0015_20240102_094500_6658,ORD_retail_0224_20240102_094500_5353,hft_0015,retail_0224,SELL,0.00020795591334636329
